skew_confidence,distance_closest_building,road_area,car_area,car_area_quantile,road_area_quantile,abs_slope_diff_huber,skew_confidence_quantile,distance_closest_building_quantile
17,13.012024869448128,312546.5,4637.5,D2,D10,1.6435891034688517,D4,D9
5,7.476622823181108,174103,60888,D5,D4,1.1988257486666496,D2,D2
81,10.594763608731938,201828.5,20518.5,D3,D5,0.5831577683483132,D9,D6
90,9.908022826754667,209739.5,18.5,D1,D6,0.5340822833508876,D9,D5
37,12.201272307103062,252685.5,40142,D4,D8,0.5722681810729936,D7,D9
42,9.866018337094529,209368,7043,D2,D6,0.15671543030748725,D7,D5
25,10.390683605911844,275035.5,28261.5,D3,D9,1.2731319204004583,D5,D6
22,11.112780601055524,246336,30836.5,D3,D8,0.12698278852029068,D5,D7
90,4.906980110051997,194277.5,78059.5,D6,D5,0.5981446491789011,D9,D1
4,12.858234840824473,224350.5,175587,D10,D7,0.16949651027239943,D1,D9
6,7.113812097032551,103944.5,1517,D2,D2,1.7330507593404343,D2,D2
19,8.78177338,274623.5,97001,D7,D9,1.213899866503979,D4,D3
12,8.595539070737434,255036.5,21585.5,D3,D8,2.0879520547058683,D3,D3
16,9.543324221,163698.5,3741.5,D2,D3,1.0250779488599007,D4,D5
41,12.96344084690889,308960.5,5740,D2,D10,0.70510273,D7,D9
5,8.136388037526318,308202,70207,D5,D10,0.18107591100565612,D2,D2
81,12.89913634225921,311532.5,74670,D6,D10,0.5468485477766684,D9,D9
5,9.092380524469426,257140,29504,D3,D8,0.44256279078034266,D2,D4
46,11.049071342275688,197548.5,140058,D9,D5,0.8860517700973327,D8,D7
5,11.791059723263984,196327.5,107241.5,D7,D5,1.4455291017162548,D2,D8
118,8.024104181043626,126368.5,180185.5,D10,D2,0.24237099558016062,D10,D2
118,8.610081505051276,172263.5,828.5,D1,D4,0.7233154342088861,D10,D3
146,10.76373858277274,285694.5,63.5,D1,D10,0.44095522343542193,D10,D7
107,9.606373332925989,209267.5,126594.5,D8,D6,0.5305314493586436,D10,D5
7,11.34675914401396,241721,62672.5,D5,D8,2.6722543468368625,D2,D7
2,12.00301243203891,207190.5,130436.5,D8,D5,1.1191992243469513,D1,D8
2,13.555727482668944,236722,99951,D7,D7,0.17441231114255185,D1,D10
13,12.44907995077773,308236,55098,D5,D10,2.1181391027140375,D3,D9
21,9.984264685870269,191694.5,113964,D8,D5,0.8350473996880963,D5,D5
86,11.562154504204662,180677,0,D1,D4,0.13884219066312362,D9,D8
114,11.152176717170583,167290.5,41959.5,D4,D3,0.082108539,D10,D7
70,10.822878689894583,302670,89109,D6,D10,0.5619090070517354,D9,D7
18,10.005190556955927,138308,135094,D9,D2,0.03335526,D4,D6
36,10.939979709930856,220251.5,34100,D3,D6,1.6894729893999183,D7,D7
47,10.514110103726098,195429.5,130264.5,D8,D5,0.37400126568206515,D8,D6
3,19.02732153723172,208411,63749,D5,D6,0.12230729160424825,D1,D10
19,9.333433107897772,192046,20004.5,D3,D5,0.4227781567370863,D4,D4
29,8.445314603762869,123284.5,72917,D5,D2,0.23564337401804192,D6,D3
29,8.282653077464929,217765.5,81232,D6,D6,0.487290122,D6,D3
17,10.827728950300026,208003,146100.5,D9,D6,4.236348708,D4,D7
99,12.144334330958245,142076,66873,D5,D2,0.23139210593499193,D10,D9
