length,GT,post_huber,slope_30m,GT_relief,post_huber_relief,slope_30m_relief
98.898,0.583776123,0.513820616,0.40529253,1.00768834,0.886927345,0.699585372
96.001,0.709441867,0.398343256,0.668288185,1.188754391,0.667448237,1.119790047
232.365,0.099300207,0.112651892,0.279880479,0.402715801,0.456864203,1.135073914
85.679,0.264557651,1.230105273,0.586376596,0.395617204,1.839758301,0.876886829
46.966,1.128521855,1.168604835,1.392952949,0.925181803,0.958051484,1.142044336
86.975,0.613653449,1.608408899,0.417742497,0.931561628,2.442206448,0.634144397
85,0.326295303,1.24825326,0.353788214,0.48407406,1.852114025,0.524862051
113.358,0.276025779,0.680799351,2.801787351,0.54611304,1.347004713,5.547675822
109.719,0.341944094,1.340890544,0.514770004,0.654816285,2.568217696,0.98578936
694.633,0.342335219,1.012720514,0.239654843,4.150395932,12.27913054,2.905504291
208.032,0.206070097,0.513610498,0.297440832,0.748211466,1.864889212,1.079970767
359.591,0.328047771,2.307624455,2.402894697,2.058865696,14.49059538,15.08952752
94.355,0.478765059,0.166430191,0.64439034,0.788451242,0.274078911,1.061230247
104.507,0.288635293,0.254906285,0.573386451,0.526472699,0.4649499,1.045886781
146.287,0.398172534,0.749954012,1.060687314,1.016626419,1.914884294,2.708445447
131.732,1.25768718,1.280851019,1.448507577,2.892084968,2.945368418,3.331056225
88.808,0.387176003,1.699920491,0.325212813,0.600128842,2.635636561,0.504082672
52.565,1.581353765,1.349242914,0.765119749,1.451153546,1.238067921,0.701987315
145.153,0.734402934,0.560883235,0.801846426,1.860636653,1.420985728,2.031528578
206.115,0.872094705,0.887722459,0.788033866,3.137503048,3.193735362,2.835040282
1179.375,1.069729879,1.941653368,0.986352468,22.02185393,39.98225456,20.30506229
149.189,0.473682498,0.493953792,0.497556639,1.233421184,1.28620814,1.295590079
231.489,1.915578869,1.199750569,2.171681834,7.742293323,4.847995098,8.778331336
79.191,1.911139174,1.195244548,2.452818778,2.642449016,1.652239388,3.392220525
146.249,1.406774021,0.824561195,1.237120639,3.591549818,2.104859679,3.15827413
144.366,0.066753906,1.000944812,0.174195387,0.168197359,2.522299236,0.438914855
85.411,0.276839375,0.919168541,0.527932614,0.412688544,1.370325014,0.787013092
173.883,1.773189903,2.740718018,1.854807057,5.383050144,8.32396541,5.630992893
84.512,0.023589165,0.796894446,0.284304264,0.034794319,1.175505193,0.41935583
137.848,1.1685861,1.823572296,2.50021566,2.811892923,4.38881729,6.019093503
178.638,0.342082032,1.23786996,0.26562941,1.066563309,3.860057898,0.828190958
87.148,1.093509375,2.133287769,0.458600319,1.663451099,3.246272602,0.697554941
85.25,0.791661306,0.835307009,1.107174521,1.177982429,1.242935669,1.647562505
146.215,1.998247516,1.322475574,2.594134169,5.10146264,3.375468736,6.624584292
94.235,0.422371247,1.450703509,0.232879937,0.694691229,2.38649805,0.383022308
